,Dt_Customer,Age,Marital_Status,total_number_of_children,Income,total_spending,total_number_of_purches,NumDealsPurchases,first_day,day_engaged
1979,2012-05-12,30,Single,1,31385,27,4,1,2015-01-01,964
1980,2013-02-27,30,relationship,1,24570,193,11,3,2015-01-01,673
1981,2012-09-18,40,Single,1,25509,101,9,3,2015-01-01,835
1982,2014-12-02,63,relationship,0,94642,2211,21,0,2015-01-01,30
1983,2013-10-06,52,relationship,1,58646,140,8,1,2015-01-01,452
1984,2013-12-02,39,Single,2,53201,415,22,8,2015-01-01,395
1985,2012-12-24,57,relationship,1,21994,22,4,1,2015-01-01,738
1986,2013-06-02,36,relationship,2,57113,263,16,6,2015-01-01,578
1987,2013-06-22,23,relationship,0,51373,393,12,1,2015-01-01,558
1988,2013-10-21,28,relationship,1,23477,147,10,3,2015-01-01,437
1989,2014-04-13,58,relationship,1,58116,443,16,2,2015-01-01,263
1990,2013-12-16,51,Single,0,72968,1958,19,1,2015-01-01,381
1991,2013-03-28,43,relationship,1,39791,174,10,2,2015-01-01,644
1992,2013-10-17,67,Single,0,91712,2217,27,0,2015-01-01,441
1993,2014-03-04,56,Single,1,94472,1691,16,1,2015-01-01,303
1994,2013-04-17,54,relationship,2,13672,25,6,2,2015-01-01,624
1995,2014-05-23,34,relationship,0,96547,809,21,0,2015-01-01,223
1996,2012-08-29,39,relationship,0,79205,895,16,1,2015-01-01,855
1997,2012-12-25,39,relationship,1,56559,484,18,3,2015-01-01,737
1998,2013-01-16,41,relationship,1,32644,413,18,4,2015-01-01,715
1999,2014-02-01,34,Single,1,67506,331,12,1,2015-01-01,334
2000,2013-08-03,44,Single,1,24206,25,5,1,2015-01-01,516
2001,2013-12-24,47,Single,1,28420,13,4,1,2015-01-01,373
2002,2012-06-09,44,relationship,1,22979,115,10,3,2015-01-01,936
2003,2014-12-06,48,Single,0,33279,16,4,1,2015-01-01,26
2004,2013-09-18,42,Single,2,46423,92,9,3,2015-01-01,470
2005,2013-07-11,37,relationship,1,30368,52,7,2,2015-01-01,539
2006,2012-11-26,44,relationship,1,63684,1464,23,3,2015-01-01,766
2007,2013-02-13,50,Single,1,41638,441,17,4,2015-01-01,687
2008,2013-09-17,55,Single,1,68805,283,12,1,2015-01-01,471
2009,2014-02-03,48,relationship,1,65814,747,23,3,2015-01-01,332
2010,2013-05-20,56,Single,0,71964,1870,17,1,2015-01-01,591
2011,2013-02-14,28,Single,1,39146,165,11,3,2015-01-01,686
2012,2013-06-08,37,relationship,0,96876,1941,24,1,2015-01-01,572
2013,2013-01-27,33,relationship,0,34445,839,27,6,2015-01-01,704
2014,2012-07-08,56,Single,0,68281,1655,25,1,2015-01-01,907
2015,2013-03-29,39,relationship,2,37284,23,4,1,2015-01-01,643
2016,2013-01-03,31,relationship,0,36790,66,6,1,2015-01-01,728
2017,2013-04-15,47,relationship,2,27943,37,8,3,2015-01-01,626
2018,2014-03-30,63,Single,2,22263,21,6,2,2015-01-01,277
2019,2012-09-25,42,relationship,3,30261,22,4,1,2015-01-01,828
2020,2014-12-02,36,relationship,1,28587,78,9,3,2015-01-01,30
2021,2013-05-04,32,relationship,1,43815,79,6,1,2015-01-01,607
2022,2014-01-21,58,relationship,2,48195,265,17,6,2015-01-01,345
2023,2014-05-02,62,relationship,1,77027,1175,19,2,2015-01-01,244
2024,2013-02-16,49,relationship,1,71322,1305,28,2,2015-01-01,684
2025,2014-02-23,35,relationship,1,32765,46,8,2,2015-01-01,312
2026,2013-12-03,49,relationship,2,29672,25,4,1,2015-01-01,394
2027,2013-10-17,61,Single,0,23272,46,5,1,2015-01-01,441
2028,2012-07-09,65,relationship,1,49912,874,26,4,2015-01-01,906
2029,2012-01-08,29,relationship,1,7500,100,10,4,2015-01-01,1089
2030,2013-10-03,67,Single,1,68117,930,25,2,2015-01-01,455
2031,2013-11-26,59,relationship,1,67225,868,23,3,2015-01-01,401
2032,2013-12-11,38,relationship,1,17649,45,9,3,2015-01-01,386
2033,2013-04-29,39,relationship,1,55914,1260,29,4,2015-01-01,612
2034,2013-09-28,30,relationship,1,40059,414,12,1,2015-01-01,460
2035,2013-05-12,64,relationship,1,60905,392,15,2,2015-01-01,599
2036,2012-04-10,37,relationship,2,75330,1109,29,4,2015-01-01,996
2037,2013-01-06,63,Single,1,60689,639,22,4,2015-01-01,725
2038,2013-03-28,30,relationship,1,38680,79,6,1,2015-01-01,644
2039,2013-08-02,32,relationship,0,61416,1665,24,1,2015-01-01,517
2040,2013-02-05,23,Single,0,49767,692,18,1,2015-01-01,695
2041,2012-09-25,44,Single,3,83273,1392,29,10,2015-01-01,828
2042,2013-11-29,33,relationship,1,29009,44,7,2,2015-01-01,398
2043,2013-01-12,35,relationship,1,45057,50,6,1,2015-01-01,719
2044,2012-11-09,43,relationship,1,37150,467,21,8,2015-01-01,783
2045,2013-11-30,44,Single,1,43020,223,12,3,2015-01-01,397
2046,2014-09-06,55,relationship,1,53154,158,9,1,2015-01-01,117
2047,2013-11-09,41,relationship,0,65308,1211,28,1,2015-01-01,418
2048,2012-08-17,44,Single,1,76467,1575,14,2,2015-01-01,867
2049,2013-12-27,67,relationship,0,81044,1208,22,1,2015-01-01,370
2050,2013-09-03,63,relationship,2,32871,43,5,1,2015-01-01,485
2051,2013-09-22,39,Single,2,55801,527,21,6,2015-01-01,466
2052,2014-06-22,55,Single,1,76320,932,15,2,2015-01-01,193
2053,2014-02-06,59,Single,2,36927,71,8,2,2015-01-01,329
2054,2014-06-26,61,relationship,2,48794,54,5,1,2015-01-01,189
2055,2013-03-19,49,Single,0,23478,129,7,1,2015-01-01,653
2056,2012-06-10,41,Single,1,71128,1615,27,3,2015-01-01,935
2057,2013-07-21,38,Single,1,70179,1034,26,3,2015-01-01,529
2058,2013-05-01,64,relationship,1,59462,1088,25,2,2015-01-01,610
2060,2013-12-27,45,relationship,1,38361,137,10,3,2015-01-01,370
2062,2013-10-25,32,relationship,0,70038,1244,17,1,2015-01-01,433
2063,2013-12-01,36,relationship,2,42554,41,7,2,2015-01-01,396
2064,2012-12-08,40,relationship,1,67445,1174,32,5,2015-01-01,754
2065,2013-06-01,63,Single,1,67046,993,15,2,2015-01-01,579
2066,2013-06-09,66,relationship,0,42192,100,7,1,2015-01-01,571
2067,2012-10-29,62,relationship,1,77610,1680,17,2,2015-01-01,794
2068,2014-05-04,30,relationship,1,31761,98,9,2,2015-01-01,242
2069,2013-10-19,35,relationship,1,34350,48,5,1,2015-01-01,439
2070,2013-05-08,65,relationship,1,54591,519,19,3,2015-01-01,603
2071,2013-12-25,58,relationship,1,71866,715,20,1,2015-01-01,372
2072,2013-09-15,45,relationship,1,25293,37,5,1,2015-01-01,473
2073,2013-10-01,27,Single,0,42000,653,20,2,2015-01-01,457
2074,2013-07-07,31,relationship,0,69520,1455,21,1,2015-01-01,543
2075,2014-07-02,44,Single,1,64713,602,19,2,2015-01-01,183
2076,2013-05-07,37,relationship,1,27889,26,5,1,2015-01-01,604
2077,2014-03-27,54,Single,0,22123,102,7,1,2015-01-01,280
2080,2012-08-26,41,relationship,1,27803,176,9,2,2015-01-01,858
2082,2012-07-11,54,relationship,1,51651,433,17,4,2015-01-01,904
2083,2013-01-13,26,relationship,0,68487,1366,30,1,2015-01-01,718
2085,2013-02-16,45,relationship,1,56796,1001,27,3,2015-01-01,684
2086,2012-12-15,22,relationship,0,87000,961,18,1,2015-01-01,747
2087,2014-03-31,55,relationship,1,79823,1518,23,1,2015-01-01,276
2088,2013-04-10,34,Single,1,30828,56,8,2,2015-01-01,631
2089,2013-06-11,43,relationship,1,34109,22,4,1,2015-01-01,569
2090,2013-08-31,40,Single,2,53367,400,21,7,2015-01-01,488
2091,2013-10-21,45,relationship,0,22390,26,4,1,2015-01-01,437
2092,2014-02-05,38,relationship,1,71322,350,13,1,2015-01-01,330
2093,2012-12-19,21,Single,0,79244,1216,22,1,2015-01-01,743
2094,2012-07-09,65,relationship,1,49912,874,26,4,2015-01-01,906
2095,2013-05-21,64,relationship,2,48699,40,5,1,2015-01-01,590
2096,2013-09-30,39,relationship,0,80144,1367,19,1,2015-01-01,458
2097,2013-05-28,58,Single,2,54252,264,15,5,2015-01-01,583
2098,2012-09-29,38,relationship,1,81929,2053,20,2,2015-01-01,824
2099,2012-11-29,39,relationship,1,76068,1376,10,1,2015-01-01,763
2100,2014-03-20,38,relationship,2,53204,45,5,1,2015-01-01,287
2101,2014-05-22,65,relationship,1,67911,976,27,3,2015-01-01,224
2102,2012-09-17,30,relationship,1,14796,51,6,2,2015-01-01,836
2103,2014-02-19,40,relationship,1,78128,1264,20,2,2015-01-01,316
2104,2013-02-28,42,relationship,0,14188,75,7,1,2015-01-01,672
2105,2012-10-29,28,relationship,1,20425,57,7,2,2015-01-01,794
2106,2013-10-06,52,relationship,1,58646,140,8,1,2015-01-01,452
2107,2012-12-15,44,Single,1,72967,497,19,2,2015-01-01,747
2108,2013-08-06,65,relationship,1,48150,266,13,3,2015-01-01,513
2109,2012-09-17,53,Single,0,82332,2006,21,1,2015-01-01,836
2110,2013-02-06,59,Single,2,58275,615,23,6,2015-01-01,694
2111,2012-12-21,33,relationship,0,44953,1021,24,1,2015-01-01,741
2112,2014-05-16,61,relationship,2,34587,22,6,2,2015-01-01,230
2113,2013-01-11,40,relationship,1,43018,133,7,1,2015-01-01,720
2114,2013-07-24,60,relationship,1,45736,437,19,5,2015-01-01,526
2115,2013-04-12,45,relationship,1,66476,1013,26,2,2015-01-01,629
2116,2013-08-26,33,relationship,1,27733,57,7,2,2015-01-01,493
2117,2014-01-21,62,relationship,1,69805,1038,27,2,2015-01-01,345
2118,2013-10-04,52,Single,0,72217,1573,22,1,2015-01-01,454
2119,2012-10-18,43,Single,1,25818,28,4,1,2015-01-01,805
2120,2012-12-09,38,relationship,1,37509,123,9,2,2015-01-01,753
2121,2013-10-08,38,relationship,2,25176,13,4,1,2015-01-01,450
2122,2012-08-30,34,relationship,1,43586,132,10,3,2015-01-01,854
2123,2012-03-08,58,relationship,1,53230,732,23,4,2015-01-01,1029
2124,2014-06-20,57,relationship,2,50116,66,7,2,2015-01-01,195
2125,2013-04-10,42,relationship,0,84906,1631,24,1,2015-01-01,631
2126,2013-02-08,48,relationship,1,61286,608,18,2,2015-01-01,692
2127,2013-03-30,28,relationship,0,82333,1822,18,1,2015-01-01,642
2128,2012-03-09,49,relationship,0,65220,1282,23,4,2015-01-01,1028
2129,2013-03-11,40,relationship,3,33590,8,4,1,2015-01-01,661
2130,2013-04-22,38,Single,1,30992,43,5,1,2015-01-01,619
2131,2013-11-03,38,Single,0,72309,1931,20,1,2015-01-01,424
2132,2013-08-29,65,relationship,0,156924,8,0,0,2015-01-01,490
2133,2012-08-14,34,relationship,1,16005,103,8,3,2015-01-01,870
2134,2014-10-01,57,Single,0,65487,1169,17,3,2015-01-01,92
2135,2014-06-04,49,relationship,1,58692,395,15,1,2015-01-01,211
2136,2013-02-10,45,Single,2,40590,258,15,5,2015-01-01,690
2137,2014-11-05,44,Single,1,20587,25,5,1,2015-01-01,57
2138,2014-01-03,60,Single,1,62637,185,10,1,2015-01-01,363
2139,2012-06-08,48,Single,2,29435,180,11,4,2015-01-01,937
2140,2014-01-30,40,Single,1,19346,22,5,1,2015-01-01,336
2141,2014-01-23,43,relationship,2,35788,44,7,2,2015-01-01,343
2142,2013-01-02,46,Single,2,36997,94,12,5,2015-01-01,729
2143,2014-02-28,57,relationship,0,23539,81,7,1,2015-01-01,307
2144,2014-01-17,41,Single,1,65333,798,28,7,2015-01-01,349
2145,2013-11-23,57,Single,0,78499,1334,19,1,2015-01-01,404
2146,2014-03-25,43,relationship,1,29732,38,5,1,2015-01-01,282
2147,2014-03-24,54,relationship,3,41275,61,11,4,2015-01-01,283
2148,2013-06-07,41,relationship,2,63516,300,16,4,2015-01-01,573
2149,2013-12-10,52,relationship,1,42769,88,8,2,2015-01-01,387
2150,2013-12-15,56,relationship,2,49572,54,7,2,2015-01-01,382
2151,2012-09-17,42,relationship,0,69209,1782,16,2,2015-01-01,836
2152,2014-01-28,38,relationship,1,17148,68,11,4,2015-01-01,338
2153,2013-02-10,45,Single,2,40590,258,15,5,2015-01-01,690
2154,2013-06-27,38,relationship,1,30560,31,5,1,2015-01-01,553
2155,2014-12-05,31,relationship,1,32146,66,8,2,2015-01-01,27
2156,2014-04-29,50,Single,2,41713,174,13,5,2015-01-01,247
2157,2014-01-22,39,relationship,1,34176,28,5,1,2015-01-01,344
2158,2014-12-03,59,relationship,1,58482,731,22,2,2015-01-01,29
2159,2014-01-25,49,Single,1,59686,274,12,1,2015-01-01,341
2160,2012-11-10,50,relationship,1,60896,1701,26,3,2015-01-01,782
2161,2014-04-03,34,relationship,1,62994,312,13,1,2015-01-01,273
2162,2013-01-08,57,relationship,1,47320,414,20,6,2015-01-01,723
2163,2013-03-06,65,Single,0,74859,1565,23,1,2015-01-01,666
2164,2013-10-28,22,Single,1,15253,29,6,2,2015-01-01,430
2165,2013-06-24,40,Single,1,31560,94,8,2,2015-01-01,556
2166,2013-02-14,60,Single,1,72071,1338,20,3,2015-01-01,686
2167,2013-03-27,24,Single,0,91172,1092,14,0,2015-01-01,645
2168,2013-12-23,30,relationship,0,90000,1479,18,1,2015-01-01,374
2169,2013-11-23,33,Single,2,41967,54,5,1,2015-01-01,404
2170,2014-05-03,49,Single,1,69263,568,18,1,2015-01-01,243
2171,2013-06-28,44,Single,0,65706,1199,27,1,2015-01-01,552
2172,2014-01-17,39,relationship,1,60934,873,23,2,2015-01-01,349
2173,2013-07-29,63,relationship,1,71965,1213,17,3,2015-01-01,521
2174,2014-10-03,59,relationship,1,65210,731,22,2,2015-01-01,90
2175,2013-11-01,39,relationship,0,79174,2043,19,1,2015-01-01,426
2176,2012-12-22,47,Single,0,81380,1893,17,1,2015-01-01,740
2177,2012-10-18,41,Single,1,48432,424,19,5,2015-01-01,805
2178,2013-07-01,43,relationship,1,52914,575,15,2,2015-01-01,549
2179,2013-10-24,59,relationship,1,38946,257,12,2,2015-01-01,434
2180,2013-04-11,40,relationship,1,26067,56,9,3,2015-01-01,630
2181,2013-07-03,42,relationship,1,44325,542,21,4,2015-01-01,547
2182,2014-04-23,50,relationship,0,42523,125,7,1,2015-01-01,253
2183,2013-05-20,36,Single,1,26487,69,9,3,2015-01-01,591
2184,2014-03-18,57,relationship,1,53233,40,5,1,2015-01-01,289
2185,2013-10-01,54,relationship,1,67716,1016,28,4,2015-01-01,457
2186,2014-06-02,42,relationship,1,76234,907,23,1,2015-01-01,213
2187,2014-11-05,58,relationship,0,84117,1566,24,1,2015-01-01,57
2188,2014-10-01,57,relationship,0,65487,1169,17,3,2015-01-01,92
2189,2014-03-16,42,relationship,1,25224,46,7,2,2015-01-01,291
2190,2013-02-25,31,Single,0,89616,1644,25,1,2015-01-01,675
2191,2013-02-21,43,Single,2,40851,59,5,1,2015-01-01,679
2192,2012-02-08,67,relationship,0,27469,17,4,1,2015-01-01,1058
2193,2012-06-11,57,relationship,0,82347,1853,25,1,2015-01-01,934
2194,2012-01-08,57,relationship,1,73803,1528,22,2,2015-01-01,1089
2195,2013-03-22,62,Single,2,8820,35,10,4,2015-01-01,650
2196,2014-04-21,40,Single,0,43322,141,8,1,2015-01-01,255
2197,2013-08-21,41,relationship,1,55593,546,17,2,2015-01-01,498
2198,2013-06-18,60,relationship,2,50501,500,20,7,2015-01-01,562
2199,2014-06-26,39,relationship,2,37085,61,10,4,2015-01-01,189
2200,2013-05-08,24,Single,1,16185,106,8,2,2015-01-01,603
2201,2012-11-23,45,Single,1,57731,704,26,4,2015-01-01,769
2202,2012-10-18,41,Single,1,48432,424,19,5,2015-01-01,805
2203,2013-02-01,36,relationship,1,73807,849,23,2,2015-01-01,699
2204,2013-02-16,24,relationship,0,18929,85,6,1,2015-01-01,684
2205,2012-10-15,46,Single,2,35893,199,15,6,2015-01-01,808
2206,2012-11-08,34,relationship,1,61014,1147,20,4,2015-01-01,784
2207,2014-03-23,60,relationship,2,32144,54,10,4,2015-01-01,284
2208,2012-07-12,51,relationship,1,14918,43,5,1,2015-01-01,903
2209,2013-07-15,51,Single,2,45146,53,6,2,2015-01-01,535
2210,2013-02-13,59,Single,1,41769,521,22,6,2015-01-01,687
2211,2014-05-02,33,relationship,0,88325,1623,18,1,2015-01-01,244
2212,2014-01-05,64,Single,2,38054,45,7,2,2015-01-01,361
2213,2012-12-10,19,Single,0,80617,1435,19,1,2015-01-01,752
2214,2013-07-30,38,relationship,1,5305,32,1,0,2015-01-01,520
2215,2012-12-20,60,relationship,2,36807,16,4,1,2015-01-01,742
2216,2013-03-21,31,relationship,1,28427,52,7,2,2015-01-01,651
2217,2014-05-04,66,Single,0,82032,1234,17,0,2015-01-01,242
2218,2013-06-19,36,relationship,1,22775,15,4,1,2015-01-01,561
2219,2012-10-14,29,relationship,1,40101,415,17,4,2015-01-01,809
2220,2013-11-26,35,relationship,1,58025,470,18,3,2015-01-01,401
2221,2013-04-07,32,Single,0,75777,1438,21,1,2015-01-01,634
2222,2013-07-05,35,relationship,1,7500,53,11,4,2015-01-01,545
2223,2014-06-25,51,relationship,3,33562,51,9,3,2015-01-01,190
2224,2014-09-01,44,Single,1,57642,679,22,3,2015-01-01,122
2225,2012-09-26,46,relationship,2,58554,586,22,6,2015-01-01,827
2226,2013-03-24,35,relationship,2,63777,653,26,8,2015-01-01,648
2227,2013-03-03,52,Single,1,57967,468,19,5,2015-01-01,669
2229,2014-05-18,42,relationship,2,24434,50,7,2,2015-01-01,228
2230,2013-03-16,30,Single,1,11012,84,9,3,2015-01-01,656
2231,2012-08-21,44,Single,0,44802,1049,27,2,2015-01-01,863
2232,2012-08-17,28,Single,0,26816,22,4,1,2015-01-01,867
2234,2013-01-07,40,relationship,1,34421,30,4,1,2015-01-01,724
2235,2013-06-13,47,relationship,1,61223,1341,18,2,2015-01-01,567
2236,2014-10-06,68,relationship,3,64014,444,22,7,2015-01-01,87
2237,2014-01-25,33,Single,0,56981,1241,19,1,2015-01-01,341
2238,2014-01-24,58,relationship,1,69245,843,23,2,2015-01-01,342
2239,2012-10-15,60,relationship,2,52869,172,11,3,2015-01-01,808
